stateEstimation,5020,0.00,0.00,0.00,0.00,0.00
stateEstimation,5030,0.00,0.00,0.00,0.00,0.00
stateEstimation,5040,0.00,0.00,0.00,0.00,0.00
stateEstimation,5050,0.00,0.00,0.00,0.00,0.00
stateEstimation,5060,0.00,0.00,359.99,-2.00,0.00
stateEstimation,5070,0.00,0.00,359.94,-7.00,0.00
stateEstimation,5080,0.00,0.00,359.85,-11.00,0.00
stateEstimation,5090,0.00,0.00,359.72,-13.00,0.00
stateEstimation,5100,0.01,-0.00,359.59,-14.00,3.44
stateEstimation,5110,0.03,-0.00,359.46,-12.00,2.48
stateEstimation,5120,0.08,-0.00,359.36,-9.00,-1.52
stateEstimation,5130,0.15,-0.00,359.28,-7.00,-0.80
stateEstimation,5140,0.23,-0.00,359.21,-6.00,6.84
stateEstimation,5150,0.32,-0.00,359.15,-5.00,8.74
stateEstimation,5160,0.40,-0.01,359.13,0.00,6.97
stateEstimation,5170,0.49,-0.01,359.13,0.00,5.97
stateEstimation,5180,0.59,-0.01,359.13,0.00,12.67
stateEstimation,5190,0.71,-0.01,359.14,1.00,5.96
stateEstimation,5200,0.84,-0.01,359.15,1.00,8.46
stateEstimation,5210,0.97,-0.01,359.17,3.00,10.57
stateEstimation,5220,1.10,-0.02,359.21,4.00,8.18
stateEstimation,5230,1.22,-0.02,359.25,4.00,6.33
stateEstimation,5240,1.35,-0.02,359.29,4.00,9.12
stateEstimation,5250,1.48,-0.02,359.33,4.00,11.09
stateEstimation,5260,1.61,-0.02,359.36,3.00,8.76
stateEstimation,5270,1.74,-0.02,359.38,2.00,3.34
stateEstimation,5280,1.86,-0.02,359.40,1.00,6.40
stateEstimation,5290,2.00,-0.03,359.41,2.00,8.18
stateEstimation,5300,2.13,-0.03,359.44,3.00,6.15
stateEstimation,5310,2.25,-0.03,359.46,2.00,4.57
stateEstimation,5320,2.38,-0.03,359.48,1.00,3.32
stateEstimation,5330,2.51,-0.03,359.48,0.00,10.24
stateEstimation,5340,2.64,-0.03,359.48,0.00,4.28
stateEstimation,5350,2.76,-0.03,359.48,0.00,7.16
stateEstimation,5360,2.89,-0.03,359.47,-1.00,10.15
stateEstimation,5370,3.00,-0.04,359.46,-1.00,8.68
stateEstimation,5380,3.14,-0.04,359.45,-1.00,3.27
stateEstimation,5390,3.27,-0.04,359.44,-1.00,6.76
stateEstimation,5400,3.41,-0.04,359.42,-1.00,9.46
stateEstimation,5410,3.54,-0.04,359.41,0.00,-0.14
